281,G Boyd,HUL,4,2,3.8,2,0,0,1,0,0,0,0
282,R Brady,HUL,4,11,3.7,8,0,0,1,3,6,0,0
283,A Elmohamady,HUL,4,3,3.6,3,0,0,0,1,6,0,0
284,T Huddlestone,HUL,4,2,3.8,2,0,0,1,0,5,0,0
285,R Koren,HUL,4,0,3.7,0,0,0,0,0,4,0,0
286,J Livermore,HUL,4,0,3.5,0,0,0,0,0,5,0,0
287,D Meyler,HUL,4,0,3.5,0,0,0,0,0,1,0,0
288,S Quinn,HUL,4,0,3.5,0,0,0,0,0,1,0,0
289,L Alberto,LIV,4,0,3.9,0,0,0,0,0,0,0,0
290,J Allen,LIV,4,0,3.5,0,0,0,0,0,0,0,0
291,P Coutinho,LIV,4,0,4.4,0,0,0,0,0,4,0,0
292,S Gerrard,LIV,4,2,5.4,2,0,0,1,0,6,0,0
293,J Henderson,LIV,4,0,4,0,0,0,0,0,6,0,0
294,Lucas,LIV,4,0,3.6,0,0,0,0,0,6,0,0
295,V Moses,LIV,4,3,4,3,0,0,0,1,3,0,0
296,R Sterling,LIV,4,0,4,0,0,0,0,0,1,0,0
297,Fernandinho,MC,4,0,3.9,0,0,0,0,0,5,0,0
298,J Garcia,MC,4,0,3.8,0,0,0,0,0,2,0,0
299,J Milner,MC,4,0,4,0,0,0,0,0,2,0,0
300,S Nasri,MC,4,8,4.4,5,0,0,1,2,3,0,0
301,J Navas,MC,4,2,4.3,2,0,0,1,0,4,0,0
302,J Rodwell,MC,4,0,3.7,0,0,0,0,0,1,0,0
303,D Silva,MC,4,5,5.3,0,0,0,1,1,3,0,0
304,Y Toure,MC,4,12,4.6,6,0,0,0,4,6,0,0
305,Anderson,MU,4,0,3.7,0,0,0,0,0,2,0,0
306,M Carrick,MU,4,0,3.9,0,0,0,0,0,6,0,0
307,T Cleverley,MU,4,0,3.9,0,0,0,0,0,3,0,0
308,M Fellaini,MU,4,0,4.7,0,0,0,0,0,4,0,0
309,D Fletcher,MU,4,0,3.7,0,0,0,0,0,0,0,0
310,R Giggs,MU,4,2,3.9,0,0,0,1,0,2,0,0
311,A Januzaj,MU,4,0,3.8,0,0,0,0,0,1,0,0
312,S Kagawa,MU,4,0,4.6,0,0,0,0,0,1,0,0
313,Nani,MU,4,0,4.9,0,0,0,0,0,1,0,0
314,A Valencia,MU,4,2,4.5,0,0,0,1,0,5,0,0
315,A Young,MU,4,2,4.5,2,0,0,1,0,3,0,0
316,W Zaha,MU,4,0,4,0,0,0,0,0,0,0,0
317,R Amalfitano,NEW,4,0,3.6,0,0,0,0,0,0,0,0
318,V Anita,NEW,4,0,3.6,0,0,0,0,0,6,0,0
319,H Ben Arfa,NEW,4,8,4,5,0,0,1,2,6,0,0
320,G Bigirimana,NEW,4,0,3.6,0,0,0,0,0,0,0,0
321,Y Cabaye,NEW,4,3,4.1,3,0,0,0,1,3,0,0
322,D Gosling,NEW,4,0,3.5,0,0,0,0,0,0,0,0
323,J Gutierrez,NEW,4,0,3.7,0,0,0,0,0,0,0,0
324,S Marveaux,NEW,4,0,3.8,0,0,0,0,0,2,0,0
325,G Obertan,NEW,4,0,3.7,0,0,0,0,0,0,0,0
326,M Sissoko,NEW,4,0,3.8,0,0,0,0,0,6,0,0
327,R Taylor,NEW,4,0,3.6,0,0,0,0,0,0,0,0
328,C Tiote,NEW,4,0,3.6,0,0,0,0,0,2,0,0
329,H Vuckic,NEW,4,0,3.5,0,0,0,0,0,0,0,0
330,E Bennett,NOR,4,0,3.7,0,0,0,0,0,1,0,0
331,L Fer,NOR,4,2,3.7,0,0,0,1,0,5,0,0
332,W Hoolahan,NOR,4,2,3.9,0,0,0,1,0,1,0,0
333,J Howson,NOR,4,3,3.6,3,0,0,0,1,4,0,0
334,B Johnson,NOR,4,0,3.7,0,0,0,0,0,4,0,0
335,A Pilkington,NOR,4,2,3.9,2,0,0,1,0,1,0,0
336,N Redmond,NOR,4,3,3.7,0,0,0,0,1,5,0,0
337,R Snodgrass,NOR,4,0,4,0,0,0,0,0,5,0,0
338,A Tettey,NOR,4,0,3.4,0,0,0,0,0,2,0,0
339,J Cork,SOT,4,0,3.5,0,0,0,0,0,0,0,0
340,S Davis,SOT,4,0,3.7,0,0,0,0,0,1,0,0
341,G do Prado,SOT,4,0,3.7,0,0,0,0,0,0,0,0
342,A Lallana,SOT,4,4,3.9,4,0,0,2,0,6,0,0
343,G Ramirez,SOT,4,0,4,0,0,0,0,0,0,0,0
344,M Schneiderlin,SOT,4,0,3.5,0,0,0,0,0,6,0,0
345,V Wanyama,SOT,4,0,3.5,0,0,0,0,0,6,0,0
346,J Ward-Prowse,SOT,4,2,3.6,0,0,0,1,0,3,0,0
347,C Adam,STO,4,3,4,0,0,0,0,1,5,0,0
348,M Arnautovic,STO,4,2,3.7,2,0,0,1,0,2,0,0
349,O Assaidi,STO,4,0,3.8,0,0,0,0,0,0,0,0
350,M Etherington,STO,4,0,3.7,0,0,0,0,0,4,0,0
351,S Ireland,STO,4,0,3.7,0,0,0,0,0,1,0,0
352,J Ness,STO,4,0,3.4,0,0,0,0,0,0,0,0
353,S N'Zonzi,STO,4,0,3.6,0,0,0,0,0,6,0,0
354,W Palacios,STO,4,0,3.4,0,0,0,0,0,0,0,0
355,J Pennant,STO,4,3,3.6,0,0,0,0,1,1,0,0
356,B Shea,STO,4,0,3.6,0,0,0,0,0,0,0,0
357,G Whelan,STO,4,0,3.6,0,0,0,0,0,1,0,0
358,Cabral,SUN,4,0,3.6,0,0,0,0,0,1,0,0
359,L Cattermole,SUN,4,0,3.4,0,0,0,0,0,1,0,0
360,J Colback,SUN,4,2,3.4,0,0,0,1,0,6,0,0
361,C Gardner,SUN,4,3,3.9,3,0,0,0,1,4,0,0
362,E Giaccherini,SUN,4,6,4.1,3,0,0,0,2,5,0,0
363,A Johnson,SUN,4,2,4.1,2,0,0,1,0,6,0,0
364,S Ki,SUN,4,2,3.7,2,0,0,1,0,3,0,0
365,S Larsson,SUN,4,2,3.9,0,0,0,1,0,4,0,0
366,D Vaughan,SUN,4,0,3.6,0,0,0,0,0,2,0,0
367,L Britton,SWA,4,0,3.4,0,0,0,0,0,2,0,0
368,J Canas,SWA,4,0,3.4,0,0,0,0,0,5,0,0
369,J De Guzman,SWA,4,0,4,0,0,0,0,0,3,0,0
370,N Dyer,SWA,4,3,3.9,3,0,0,0,1,4,0,0
371,P Hernandez,SWA,4,7,4,5,0,0,2,1,3,0,0
372,Michu,SWA,4,8,5,8,0,0,1,2,6,0,0
373,A Pozuelo,SWA,4,0,3.7,0,0,0,0,0,0,0,0
374,W Routledge,SWA,4,2,4.1,2,0,0,1,0,6,0,0
375,J Shelvey,SWA,4,5,3.8,5,0,0,1,1,6,0,0
376,E Capoue,TOT,4,0,3.6,0,0,0,0,0,2,0,0
377,N Chadli,TOT,4,0,4.3,0,0,0,0,0,3,0,0
378,M Dembele,TOT,4,0,3.8,0,0,0,0,0,6,0,0
379,C Eriksen,TOT,4,2,4.4,2,0,0,1,0,3,0,0
380,L Holtby,TOT,4,0,3.9,0,0,0,0,0,0,0,0
381,E Lamela,TOT,4,2,4.4,2,0,0,1,0,0,0,0
382,A Lennon,TOT,4,0,4.4,0,0,0,0,0,1,0,0
383,Paulinho,TOT,4,5,4,5,0,0,1,1,6,0,0
384,Sandro,TOT,4,0,3.7,0,0,0,0,0,0,0,0
385,G Sigurdsson,TOT,4,9,4.2,9,0,0,0,3,4,0,0
386,A Townsend,TOT,4,2,3.8,0,0,0,1,0,5,0,0
387,M Amalfitano,WBA,4,8,3.8,8,0,0,1,2,2,0,0
388,C Brunt,WBA,4,2,3.9,2,0,0,1,0,1,0,0
389,G Dorrans,WBA,4,0,3.8,0,0,0,0,0,3,0,0
